일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-07-01,북강릉(104),X,32,31.7,27.4,22.3,72.1,O,주의,X,매우높음
2022-07-01,동해(106),X,30.4,30.3,25.8,21.7,76.4,O,주의,X,매우높음
2022-07-01,서울(108),X,31.8,30.9,26.6,21.9,83.3,O,관심,X,높음
2022-07-01,인천(112),X,30,28.1,25.6,23.6,86,O,관심,X,매우높음
2022-07-01,원주(114),X,31.5,32,26.6,21,72.9,O,관심,X,매우높음
2022-07-01,울릉도(115),X,31.7,30.4,27.2,23.8,73.8,O,관심,X,매우높음
2022-07-01,수원(119),X,32.1,31.4,27.3,23.4,79.3,O,관심,X,매우높음
2022-07-01,영월(121),X,32.3,32.5,26.2,22,77.8,O,관심,X,매우높음
2022-07-01,충주(127),O,33,33.2,27.6,22.6,76.8,O,관심,X,매우높음
2022-07-01,서산(129),X,31.2,30.1,26.5,23.7,81.3,X, ,X,매우높음
2022-07-01,울진(130),X,31.8,31.5,24.6,21.5,79.3,O,주의,X,매우높음
2022-07-01,청주(131),O,33.5,34.3,29.3,24.1,66.8,O,주의,O,매우높음
2022-07-01,대전(133),O,33.7,34.5,28.6,22.6,69,O,주의,X,매우높음
2022-07-01,추풍령(135),X,32.3,32.4,25.5,19.2,78.6,O,주의,X,매우높음
2022-07-01,안동(136),O,33.6,34.7,28.1,22.6,70.3,O,주의,X,매우높음
2022-07-01,상주(137),O,34.1,34.2,28.3,22.2,74.4,O,주의,X,매우높음
2022-07-01,포항(138),O,34.4,34.9,29.9,25.2,65.1,O,경고,O,매우높음
2022-07-01,군산(140),O,33.2,32.6,27,23.4,80.3,X,관심,X,매우높음
2022-07-01,대구(143),O,35.1,36.2,29.8,24,68.6,O,경고,X,매우높음
2022-07-01,전주(146),O,33.4,33.2,28.3,24.2,72.8,O,주의,X,매우높음
2022-07-01,울산(152),X,32.7,32.2,27.4,22.8,74.4,O,주의,X,매우높음
2022-07-01,창원(155),X,32.1,31.5,26.9,23,77.6,O,주의,X,매우높음
2022-07-01,광주(156),O,34,33.3,28.2,23.9,76.5,O,주의,X,매우높음
2022-07-01,부산(159),X,31.5,29.9,25.9,21.7,85,X,관심,X,매우높음
2022-07-01,통영(162),X,31.2,30.2,25.6,23.1,88.1,X, ,X,매우높음
2022-07-01,목포(165),X,32.2,31.6,27.5,23.9,74.6,O,관심,X,매우높음
2022-07-01,여수(168),X,30.2,28.6,25.6,23.6,86.8,O,관심,X,매우높음
2022-07-01,흑산도(169),X,29,26.4,23.4,21.5,96.9,X, ,X,매우높음
